geoid,state,county,tract,total_pop,med_income,housing_total,renter_units,pct_renter
55025000100,55,025,000100,2576,99954,1351,534,39.52627683197632
55025000201,55,025,000201,2483,98214,1108,271,24.458483754512635
55025000202,55,025,000202,3262,135556,1394,503,36.083213773314206
55025000204,55,025,000204,5449,80890,2640,1428,54.090909090909086
55025000205,55,025,000205,4867,111771,2475,532,21.494949494949495
55025000301,55,025,000301,3511,51418,2389,2067,86.52155713687736
55025000302,55,025,000302,2266,150221,949,171,18.018967334035825
55025000401,55,025,000401,3453,143672,1583,301,19.01452937460518
55025000402,55,025,000402,3145,106477,1331,247,18.55747558226897
55025000406,55,025,000406,3798,91003,2292,1512,65.96858638743456
55025000407,55,025,000407,4777,82145,1919,710,36.99843668577384
55025000408,55,025,000408,2040,44276,1358,1204,88.65979381443299
55025000409,55,025,000409,3956,79632,1933,937,48.473874806001035
55025000410,55,025,000410,2333,61017,1282,1238,96.56786271450858
55025000501,55,025,000501,5182,99159,1988,647,32.54527162977867
55025000504,55,025,000504,7497,109551,3164,1280,40.4551201011378
55025000505,55,025,000505,3467,92274,1581,538,34.029095509171405
55025000506,55,025,000506,3765,62558,1602,993,61.985018726591754
55025000600,55,025,000600,5346,66474,2291,1461,63.771278917503274
55025000700,55,025,000700,2944,136167,1228,215,17.50814332247557
55025000800,55,025,000800,3952,100636,1826,676,37.02081051478642
55025000901,55,025,000901,2125,183750,950,190,20.0
55025000902,55,025,000902,5677,41620,2782,2110,75.84471603163192
55025001000,55,025,001000,2518,125000,968,326,33.67768595041322
55025001101,55,025,001101,5280,16755,1820,1820,100.0
55025001102,55,025,001102,4055,10114,81,81,100.0
55025001200,55,025,001200,6554,60865,2966,2217,74.74713418745786
55025001300,55,025,001300,2712,115132,1484,799,53.84097035040432
55025001401,55,025,001401,6576,49592,3228,2149,66.57372986369269
55025001402,55,025,001402,5265,66055,2631,1821,69.21322690992018
55025001404,55,025,001404,4882,101149,2554,1274,49.88253719655442
55025001405,55,025,001405,4183,77188,2326,1359,58.426483233018054
55025001501,55,025,001501,2596,91284,1312,672,51.21951219512195
55025001502,55,025,001502,5905,58971,2658,1440,54.176072234762984
55025001603,55,025,001603,4769,12577,2232,2131,95.47491039426524
55025001604,55,025,001604,5326,23505,2183,2133,97.70957398076042
